SANA;TAITOTASO;Oikea
aika;1;1
vuosi;1;1
hyvä;1;1
pitää;1;1
uusi;1;1
asia;1;1
vielä;1;1
käyttää;1;1
ottaa;1;1
ihminen;1;1
suuri;1;1
haluta;1;1
mennä;1;1
sanoa;1;1
antaa;1;1
sama;1;1
hyvin;1;1
osa;1;1
paljon;1;1
päivä;1;1
mieli;1;1
alkaa;1;1
moni;1;1
käydä;1;1
koska;1;1
pieni;1;1
koko;1;1
aina;1;1
lapsi;1;1
toimia;1;1
tarvita;1;1
päästä;1;1
tietää;1;1
nähdä;1;1
kertoa;1;1
työ;1;1
tieto;1;1
ennen;1;1
ensimmäinen;1;1
mies;1;1
lukea;1;1
tapa;1;1
miten;1;1
lisäksi;1;1
jäädä;1;1
vähän;1;1
kuva;1;1
maa;1;1
kerta;1;1
lähteä;1;1
juuri;1;1
paikka;1;1
enemmän;1;1
katsoa;1;1
elämä;1;1
löytyä;1;1
peli;1;1
kuulua;1;1
vanha;1;1
kirjoittaa;1;1
sellainen;1;1
näyttää;1;1
käyttö;1;1
tarjota;1;1
viikko;1;1
nimi;1;1
maailma;1;1
tärkeä;1;1
puoli;1;1
mahdollinen;1;1
todella;1;1
liittyä;1;1
pitkä;1;1
nainen;1;1
löytää;1;1
tuntua;1;1
toiminta;1;1
muutama;1;1
yritys;1;1
hetki;1;1
syy;1;1
jatkaa;1;1
kysymys;1;1
kohta;1;1
ongelma;1;1
seuraava;1;1
alue;1;1
saattaa;1;1
nuori;1;1
apu;1;1
tuote;1;1
tarkoittaa;1;1
valita;1;1
tuoda;1;1
käsi;1;1
vastata;1;1
kannattaa;1;1
tilanne;1;1
pelata;1;1
yrittää;1;1
maksaa;1;1
puhua;1;1
ostaa;1;1
palvelu;1;1
loppu;1;1
tapahtua;1;1
määrä;1;1
iso;1;1
auto;1;1
laittaa;1;1
lisätä;1;1
vaikuttaa;1;1
kaupunki;1;1
helppo;1;1
joutua;1;1
yhteys;1;1
mahdollisuus;1;1
ajatella;1;1
kirja;1;1
sana;1;1
ymmärtää;1;1
viimeinen;1;1
matka;1;1
käyttäjä;1;1
oikein;1;1
huomata;1;1
osata;1;1
sopia;1;1
päättää;1;1
aloittaa;1;1
uskoa;1;1
auttaa;1;1
jättää;1;1
sivu;1;1
oikea;1;1
järjestää;1;1
odottaa;1;1
yleensä;1;1
tuntea;1;1
pystyä;1;1
nousta;1;1
vaatia;1;1
seurata;1;1
henkilö;1;1
kysyä;1;1
hinta;1;1
poika;1;1
muistaa;1;1
pelaaja;1;1
raha;1;1
tunti;1;1
todeta;1;1
kehittää;1;1
koskea;1;1
alku;1;1
rakentaa;1;1
luoda;1;1
viedä;1;1
kuulla;1;1
syntyä;1;1
tulos;1;1
esittää;1;1
tehtävä;1;1
muuttaa;1;1
tutkimus;1;1
tavoite;1;1
syödä;1;1
tila;1;1
hakea;1;1
ohjelma;1;1
juttu;1;1
asiakas;1;1
heti;1;1
kasvaa;1;1
pää;1;1
koti;1;1
koskaan;1;1
näkyä;1;1
koulu;1;1
tapaus;1;1
tarkoitus;1;1
onnistua;1;1
vaikea;1;1
osallistua;1;1
huomio;1;1
kyse;1;1
muutos;1;1
hallitus;1;1
elää;1;1
aiheuttaa;1;1
miettiä;1;1
varmasti;1;1
ajatus;1;1
silmä;1;1
parka;1;1
julkaista;1;1
kuukausi;1;1
kokemus;1;1
valmis;1;1
etsiä;1;1
ajaa;1;1
perhe;1;1
kesä;1;1
tapahtuma;1;1
peruste;1;1
vastaus;1;1
vesi;1;1
jäsen;1;1
äiti;1;1
toteuttaa;1;1
aihe;1;1
hoitaa;1;1
koira;1;1
laki;1;1
oppia;1;1
muuttua;1;1
oikeus;1;1
korkea;1;1
taso;1;1
lähettää;1;1
jakaa;1;1
varmaan;1;1
mainita;1;1
huono;1;1
ihana;1;1
väli;1;1
laskea;1;1
vaihe;1;1
paha;1;1
johtaa;1;1
siirtyä;1;1
keskustelu;1;1
kova;1;1
kausi;1;1
tuottaa;1;1
käytäntö;1;1
tukea;1;1
kokea;1;1
tyttö;1;1
viesti;1;1
ruoka;1;1
talo;1;1
riittää;1;1
kiva;1;1
asua;1;1
opiskelija;1;1
nostaa;1;1
päätös;1;1
kulua;1;1
joukkue;1;1
kauppa;1;1
ilmoittaa;1;1
käsitellä;1;1
kestää;1;1
taitaa;1;1
ilta;1;1
pysyä;1;1
yleinen;1;1
tarve;1;1
sisältää;1;1
joukko;1;1
voittaa;1;1
lukeminen;1;1
kirkko;1;1
ala;1;1
mukava;1;1
ratkaisu;1;1
hyväksyä;1;1
ryhmä;1;1
teksti;1;1
ystävä;1;1
valtio;1;1
ero;1;1
kunta;1;1
koulutus;1;1
kieli;1;1
pyrkiä;1;1
nykyinen;1;1
nopeasti;1;1
voima;1;1
ääni;1;1
hieno;1;1
piste;1;1
suunnitella;1;1
suorittaa;1;1
jalka;1;1
mielipide;1;1
toivoa;1;1
isä;1;1
tie;1;1
helposti;1;1
myydä;1;1
kansainvälinen;1;1
jaksaa;1;1
kuvata;1;1
kaveri;1;1
tietty;1;1
vaikutus;1;1
sarja;1;1
yhteistyö;1;1
tarina;1;1
suunta;1;1
osoittaa;1;1
avata;1;1
ehtiä;1;1
perustua;1;1
sijoitus;1;1
kokeilla;1;1
kulkea;1;1
malli;1;1
asettaa;1;1
kutsua;1;1
poistaa;1;1
parantaa;1;1
kaunis;1;1
nopea;1;1
myöhemmin;1;1
hoito;1;1
veto;1;1
hankkia;1;1
lehti;1;1
pyytää;1;1
tavallinen;1;1
henki;1;1
nauttia;1;1
luku;1;1
sijaita;1;1
paremmin;1;1
vaihtaa;1;1
arvo;1;1
tulevaisuus;1;1
yhteinen;1;1
palata;1;1
täyttää;1;1
tuki;1;1
sijaan;1;1
vaihtoehto;1;1
vetää;1;1
perustaa;1;1
ainoa;1;1
merkitys;1;1
kohde;1;1
yö;1;1
entinen;1;1
jatkua;1;1
tutkia;1;1
istua;1;1
tulo;1;1
suhde;1;1
muoto;1;1
lyhyt;1;1
saapua;1;1
kevät;1;1
kone;1;1
lopulta;1;1
seura;1;1
kyseinen;1;1
liikkua;1;1
huone;1;1
johtua;1;1
keskittyä;1;1
työntekijä;1;1
sisältö;1;1
tuttu;1;1
hauska;1;1
voitto;1;1
tutustua;1;1
syksy;1;1
erityinen;1;1
musiikki;1;1
aamu;1;1
herra;1;1
ominaisuus;1;1
verrata;1;1
ottelu;1;1
laaja;1;1
myöntää;1;1
tunne;1;1
arvioida;1;1
musta;1;1
sopimus;1;1
merkki;1;1
asema;1;1
kortti;1;1
laatu;1;1
edellinen;1;1
historia;1;1
esiintyä;1;1
suositella;1;1
pohja;1;1
vahva;1;1
järjestelmä;1;1
tuleva;1;1
siirtää;1;1
selvä;1;1
sivusto;1;1
laite;1;1
saavuttaa;1;1
vapaa;1;1
arju;1;2
ponki;1;2
hevitä;1;2
kervis;1;2
hynkki;1;2
pyntti;1;2
taiho;1;2
viike;1;2
jyyhtö;1;2
rehtu;1;2
valkkuna;1;2
marehtua;1;2
könki;1;2
jompata;1;2
hutto;1;2
likama;1;2
ähjö;1;2
maaste;1;2
salmu;1;2
varkanen;1;2
päkäri;1;2
päni;1;2
mustos;1;2
hatke;1;2
hysvätä;1;2
sankki;1;2
lohje;1;2
mure;1;2
vahje;1;2
jähkeä;1;2
lumppi;1;2
kuhota;1;2
moheva;1;2
ronkea;1;2
eriskellä;1;2
kipertyä;1;2
lingata;1;2
unkki;1;2
pahkio;1;2
nurtio;1;2
pantuli;1;2
arjeta;1;2
jouhka;1;2
piisko;1;2
remppi;1;2
osanta;1;2
ruoni;1;2
aljeta;1;2
ehpyä;1;2
vingyttää;1;2
rimpottaa;1;2
parina;1;2
martto;1;2
sulhe;1;2
lomppi;1;2
routti;1;2
nyöli;1;2
haikio;1;2
ankkeri;1;2
puhjo;1;2
lampustaa;1;2
jusmuta;1;2
hulmeta;1;2
rustua;1;2
urpea;1;2
purrata;1;2
vohdata;1;2
kuuleutua;1;2
sajota;1;2
varjua;1;2
kaina;1;2
alunki;1;2
huota;1;2
korjustaa;1;2
kirinä;1;2
väiste;1;2
rauhakko;1;2
lampea;1;2
rompakko;1;2
vervi;1;2
kempale;1;2
ointti;1;2
ruusti;1;2
pähje;1;2
meissi;1;2
pongeta;1;2
monkia;1;2
hyttiö;1;2
keihänen;1;2
vaina;1;2
ängyttää;1;2
numettua;1;2
pähettää;1;2
pouttaa;1;2
reisti;1;2
lumppi;1;2
hankero;1;2
summonen;1;2
vaihettaa;1;2
räysti;1;2
ärkänen;1;2
vähyt;1;2
laikue;1;2
purpula;1;2
kuomi;1;2
pohjastaa;1;2
töpertää;1;2
kuoristaa;1;2
poimahtaa;1;2
harkkuu;1;2
markata;1;2
suomistaa;1;2
alkeentua;1;2
vuohtua;1;2
loustata;1;2
varhata;1;2
hoikonen;1;2
tanhata;1;2
huokoa;1;2
ripentyä;1;2
lakistua;1;2
lukisto;1;2
versi;1;2
ärehtyä;1;2
tarppaus;1;2
raikka;1;2
hyljetä;1;2
tupistua;1;2
ahjus;1;2
sadukko;1;2
raavisto;1;2
amputtaa;1;2
kyyhti;1;2
pälistää;1;2
kestintö;1;2
rehinä;1;2
tolentti;1;2
suopio;1;2
koja;1;2
niikkuilla;1;2
ahtio;1;2
nurtua;1;2
talkina;1;2
pyhki;1;2
ahkaista;1;2
nuppea;1;2
linkka;1;2
orvota;1;2
paljeta;1;2
kieta;1;2
hutelo;1;2
tyhtö;1;2
serkki;1;2
räheltää;1;2
oiske ;1;2
rahkea;1;2
murppi;1;2
orti;1;2
nihmeä;1;2
luuki;1;2
tyhkä;1;2
pärky;1;2
muhdata;1;2
oikas;1;2
junkki;1;2
jurpea;1;2
ahkaa;1;2
heijo;1;2
rentteli;1;2
kastea;1;2
vihetä;1;2
häytää;1;2
rape;1;2
ähkerö;1;2
pyrsi;1;2
jyvitä;1;2
jälkkö;1;2
vängetä;1;2
havertaa;1;2
nälke;1;2
marha;1;2
tulkio;1;2
humpare;1;2
kami;1;2
manka;1;2
karettaa;1;2
räyste;1;2
vimpi;1;2
havettaa;1;2
lanki;1;2
marea;1;2
pänne;1;2
kemppi;1;2
tauli;1;2
nahastaa;1;2
ruomu;1;2
ahkea;1;2
puo;1;2
terppi;1;2
haare;1;2
naulis;1;2
